Variable,Description,URL,Levels,Category,UKB dataset ID,Field ID,Notes,Description,Years collected,UKB Assessment,UKB Category
country_birth,Country of birth (UK/elsewhere),https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1647,,Early life factors,f.1647.0.0,1647,,,2006-2010,ACE/Touchscreen,Early life factors
breastfed,Breastfed as a baby,https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1677,,Early life factors,f.1677.0.0,1677,,,2006-2010,ACE/Touchscreen,Early life factors
body_size_10yrs_old,Comparative body size at age 10,https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1687,,Early life factors,f.1687.0.0,1687,,,2006-2010,ACE/Touchscreen,Early life factors
height_10yrs_old,Comparative height size at age 10,https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1697,,Early life factors,f.1697.0.0,1697,,,2006-2010,ACE/Touchscreen,Early life factors
handedness,Handedness (chirality/laterality),https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1707,,Early life factors,f.1707.0.0,1707,,,2006-2010,ACE/Touchscreen,Early life factors
adopted,Adopted as a child,https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1767,,Early life factors,f.1767.0.0,1767,,,2006-2010,ACE/Touchscreen,Early life factors
part_multiple_birth,Part of a multiple birth,https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1777,,Early life factors,f.1777.0.0,1777,,,2006-2010,ACE/Touchscreen,Early life factors
maternal_smoking,Maternal smoking around birth,https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1787,,Early life factors,f.1787.0.0,1787,,,2006-2010,ACE/Touchscreen,Early life factors
birth_weight,Birth weight,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20022,,Early life factors,f.20022.0.0,20022,,,2006-2010,ACE/Verbal interview,Early life factors
birth_weight_known,Birth weight known,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=120,,Early life factors,f.120.0.0,120,,,2006-2010,ACE/Verbal interview,Early life factors
country_birth_non_UK,Country of Birth (non-UK origin),http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20115,,Early life factors,f.20115.0.0,20115,,,2006-2010,ACE/Verbal interview,Early life factors
childhood_love,Felt loved as a child,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20489,,Early life factors,f.20489.0.0,20489,CTS scale recommended threshold: never/rarely vs. a few times/very often,,2016-2017,Online follow-up/Mental health questionnaire,Traumatic events
childhood_physical_abuse,Physically abused by family as a child,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20488,,Early life factors,f.20488.0.0,20488,CTS scale recommended threshold: never/rarely vs. a few times/very often,,2016-2017,Online follow-up/Mental health questionnaire,Traumatic events
childhood_hate,Felt hated by family member as a child,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20487,,Early life factors,f.20487.0.0,20487,CTS scale recommended threshold: never/rarely vs. a few times/very often,,2016-2017,Online follow-up/Mental health questionnaire,Traumatic events
childhood_sex_abuse,Sexually molested as a child,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20490,,Early life factors,f.20490.0.0,20490,CTS scale recommended threshold: never/rarely vs. a few times/very often,,2016-2017,Online follow-up/Mental health questionnaire,Traumatic events
childhood_doctor,Someone to take to doctor when needed as a child,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20491,,Early life factors,f.20491.0.0,20491,CTS scale recommended threshold: never/rarely vs. a few times/very often,,2016-2017,Online follow-up/Mental health questionnaire,Traumatic events
self_illness_injury_assault,"Illness, injury, bereavement, stress in last 2 years",http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6145,,Stressful life events,f.6145.0.0 - f.6145.0.5,6145,,,2006-2010,ACE/Touchscreen,Mental health
