"Code","L0","L1","meaning"
-11,"BiLEVE","UKBiLEVEAX_b11","UKBiLEVEAX_b11"
-10,"BiLEVE","UKBiLEVEAX_b10","UKBiLEVEAX_b10"
-9,"BiLEVE","UKBiLEVEAX_b9","UKBiLEVEAX_b9"
-8,"BiLEVE","UKBiLEVEAX_b8","UKBiLEVEAX_b8"
-7,"BiLEVE","UKBiLEVEAX_b7","UKBiLEVEAX_b7"
-6,"BiLEVE","UKBiLEVEAX_b6","UKBiLEVEAX_b6"
-5,"BiLEVE","UKBiLEVEAX_b5","UKBiLEVEAX_b5"
-4,"BiLEVE","UKBiLEVEAX_b4","UKBiLEVEAX_b4"
-3,"BiLEVE","UKBiLEVEAX_b3","UKBiLEVEAX_b3"
-2,"BiLEVE","UKBiLEVEAX_b2","UKBiLEVEAX_b2"
-1,"BiLEVE","UKBiLEVEAX_b1","UKBiLEVEAX_b1"
1000,"BiLEVE",,"BiLEVE"
1,"Axiom","Batch_b001","Batch_b001"
2,"Axiom","Batch_b002","Batch_b002"
3,"Axiom","Batch_b003","Batch_b003"
4,"Axiom","Batch_b004","Batch_b004"
5,"Axiom","Batch_b005","Batch_b005"
6,"Axiom","Batch_b006","Batch_b006"
7,"Axiom","Batch_b007","Batch_b007"
8,"Axiom","Batch_b008","Batch_b008"
9,"Axiom","Batch_b009","Batch_b009"
10,"Axiom","Batch_b010","Batch_b010"
11,"Axiom","Batch_b011","Batch_b011"
12,"Axiom","Batch_b012","Batch_b012"
13,"Axiom","Batch_b013","Batch_b013"
14,"Axiom","Batch_b014","Batch_b014"
15,"Axiom","Batch_b015","Batch_b015"
16,"Axiom","Batch_b016","Batch_b016"
17,"Axiom","Batch_b017","Batch_b017"
18,"Axiom","Batch_b018","Batch_b018"
19,"Axiom","Batch_b019","Batch_b019"
20,"Axiom","Batch_b020","Batch_b020"
21,"Axiom","Batch_b021","Batch_b021"
22,"Axiom","Batch_b022","Batch_b022"
23,"Axiom","Batch_b023","Batch_b023"
24,"Axiom","Batch_b024","Batch_b024"
25,"Axiom","Batch_b025","Batch_b025"
26,"Axiom","Batch_b026","Batch_b026"
27,"Axiom","Batch_b027","Batch_b027"
28,"Axiom","Batch_b028","Batch_b028"
29,"Axiom","Batch_b029","Batch_b029"
30,"Axiom","Batch_b030","Batch_b030"
31,"Axiom","Batch_b031","Batch_b031"
32,"Axiom","Batch_b032","Batch_b032"
33,"Axiom","Batch_b033","Batch_b033"
34,"Axiom","Batch_b034","Batch_b034"
35,"Axiom","Batch_b035","Batch_b035"
36,"Axiom","Batch_b036","Batch_b036"
37,"Axiom","Batch_b037","Batch_b037"
38,"Axiom","Batch_b038","Batch_b038"
39,"Axiom","Batch_b039","Batch_b039"
40,"Axiom","Batch_b040","Batch_b040"
41,"Axiom","Batch_b041","Batch_b041"
42,"Axiom","Batch_b042","Batch_b042"
43,"Axiom","Batch_b043","Batch_b043"
44,"Axiom","Batch_b044","Batch_b044"
45,"Axiom","Batch_b045","Batch_b045"
46,"Axiom","Batch_b046","Batch_b046"
47,"Axiom","Batch_b047","Batch_b047"
48,"Axiom","Batch_b048","Batch_b048"
49,"Axiom","Batch_b049","Batch_b049"
50,"Axiom","Batch_b050","Batch_b050"
51,"Axiom","Batch_b051","Batch_b051"
52,"Axiom","Batch_b052","Batch_b052"
53,"Axiom","Batch_b053","Batch_b053"
54,"Axiom","Batch_b054","Batch_b054"
55,"Axiom","Batch_b055","Batch_b055"
56,"Axiom","Batch_b056","Batch_b056"
57,"Axiom","Batch_b057","Batch_b057"
58,"Axiom","Batch_b058","Batch_b058"
59,"Axiom","Batch_b059","Batch_b059"
60,"Axiom","Batch_b060","Batch_b060"
61,"Axiom","Batch_b061","Batch_b061"
62,"Axiom","Batch_b062","Batch_b062"
63,"Axiom","Batch_b063","Batch_b063"
64,"Axiom","Batch_b064","Batch_b064"
65,"Axiom","Batch_b065","Batch_b065"
66,"Axiom","Batch_b066","Batch_b066"
67,"Axiom","Batch_b067","Batch_b067"
68,"Axiom","Batch_b068","Batch_b068"
69,"Axiom","Batch_b069","Batch_b069"
70,"Axiom","Batch_b070","Batch_b070"
71,"Axiom","Batch_b071","Batch_b071"
72,"Axiom","Batch_b072","Batch_b072"
73,"Axiom","Batch_b073","Batch_b073"
74,"Axiom","Batch_b074","Batch_b074"
75,"Axiom","Batch_b075","Batch_b075"
76,"Axiom","Batch_b076","Batch_b076"
77,"Axiom","Batch_b077","Batch_b077"
78,"Axiom","Batch_b078","Batch_b078"
79,"Axiom","Batch_b079","Batch_b079"
80,"Axiom","Batch_b080","Batch_b080"
81,"Axiom","Batch_b081","Batch_b081"
82,"Axiom","Batch_b082","Batch_b082"
83,"Axiom","Batch_b083","Batch_b083"
84,"Axiom","Batch_b084","Batch_b084"
85,"Axiom","Batch_b085","Batch_b085"
86,"Axiom","Batch_b086","Batch_b086"
87,"Axiom","Batch_b087","Batch_b087"
88,"Axiom","Batch_b088","Batch_b088"
89,"Axiom","Batch_b089","Batch_b089"
90,"Axiom","Batch_b090","Batch_b090"
91,"Axiom","Batch_b091","Batch_b091"
92,"Axiom","Batch_b092","Batch_b092"
93,"Axiom","Batch_b093","Batch_b093"
94,"Axiom","Batch_b094","Batch_b094"
95,"Axiom","Batch_b095","Batch_b095"
2000,"Axiom",,"Axiom"
